half_year,tmax,tmin,af,rainfall,sun
first,14.6,7.4,0,122.2,113.1
first,15.5,8.1,0,103.1,170.8
latter,19.7,11.5,0,45.9,175.9
latter,18.3,10.6,0,48.6,155.4
latter,16.5,7.8,0,11.4,140.8
latter,14,6.8,0,32.9,82
latter,8.4,2.6,8,134.3,55.7
latter,8.1,3.1,4,128.1,16.1
first,6.6,3,4,111.3,14.9
first,6.9,1.3,11,80.2,69.6
first,10.3,3.4,4,53.2,110.8
first,11.7,3.2,4,65.5,160.9
first,14.2,6.6,0,77.4,128.9
first,18.4,10,0,63.6,157.1
latter,20,11.8,0,66.7,159.5
latter,18.7,11.8,0,65.6,133.6
latter,16.5,9.8,0,68.5,107.1
latter,12.3,5.9,1,46,86
latter,8.2,2.7,7,119.1,57.9
latter,6.8,1.6,9,143.5,30.7
first,8.3,3.7,1,218.8,24.7
first,8,3.2,1,65,46.3
first,8.3,2.7,3,50.5,72.3
first,14.1,4.2,0,4.8,175.9
first,15.3,7.5,0,51,175
first,18.3,9.7,0,36.8,226.5
latter,17.2,11.1,0,68.9,156.9
latter,18.4,11.3,0,73.5,149.2
latter,14.3,8.4,1,120,108.5
latter,11.3,5,0,35,96.9
latter,8.4,3.4,4,148.4,44.6
latter,9.1,4.7,1,181.1,29.9
first,8.1,2.9,4,232.8,14.1
first,6.9,2.2,6,58.9,55.1
first,8.6,1.7,4,37.1,112.9
first,11.9,5.2,1,64.2,124.6
first,15,5.5,0,18.4,250.6
first,19.3,9.8,0,53.3,230.1
latter,19.8,12.6,0,52.7,159.3
latter,21.7,13.8,0,44,159.8
latter,15.3,8.5,0,190.7,108.3
latter,12.8,7.5,0,107.6,54.2
latter,8.9,3.1,5,121.4,53.2
latter,8.7,3.7,4,43.7,43.1
first,7.9,3.1,3,131.7,39.1
first,7.4,2.9,2,74.6,29.7
first,7.9,1.8,6,118,78.7
first,12.1,5.1,0,63.2,115.3
first,14.3,7.7,0,126.9,129.5
first,19,11.5,0,38.2,162.6
latter,21.7,13.4,0,42.3,201
latter,22.1,11.5,0,9,208.7
latter,16,10.1,0,74.8,98.9
latter,12.5,7.2,0,123.2,69.6
latter,8.6,3.2,6,123.6,50.6
latter,3.8,-0.7,14,81.3,51.3
first,4.8,-0.2,15,81.4,52.4
first,6,1,10,128.8,63.1
first,9.5,3.6,3,122.9,69.2
first,10.5,3.9,3,84.5,144.7
first,15.4,6.2,0,50,209.7
first,18.2,9.1,0,38.7,209.3
latter,21.1,12.1,0,48.3,206.7
latter,19,11.4,0,85.9,174.9
latter,15.3,9.3,0,160.2,98.1
latter,14,8.9,0,178.7,77.1
latter,7.4,2.5,6,156.1,57.9
latter,7.5,3.7,3,64.7,27.8
first,5.3,0.2,14,121.4,46.2
first,4.8,-0.9,15,77.5,73.5
first,9.2,3.4,1,149.2,89.5
first,9.8,3.7,3,31.1,86.7
first,17.2,7.8,0,7,201.8
first,18.3,9.8,0,84.7,185.3
latter,18.2,10.7,0,72.2,171.7
